data:text/csv;charset=utf-8,"sep=,"
Game ID, Name, Image, Year Published, Price, Artists, Designers, Primary Family, Other Families, Categories, Mechanics, BGG Rating, User Rating, Complexity, Language Level, Play Time, Minimum Age, Recommended Min Age, Minimum Players, Maximum Players, Minimum Players (Base Game), Maximum Players (Base Game), Best with x Number of Players, Recommended with x Number of Players, Number of Plays, BGG Rank, Owners, Type
344925,"Bardwood Grove","https://cf.geekdo-images.com/Mgv8-ZhhHO9NoknMrIJYXg__original/img/g_rnKZZGsGbyj47FcUPPRhtd2LA=/0x0/filters:format(jpeg)/pic6352309.jpg",2024,Unknown,"Mihajlo Dimitrievski","Carl Van Ostrand","Strategy Game","Crowdfunding: Kickstarter,Digital Implementations: TableTop Simulator Mod (TTS),Mechanism: Tableau Building,Players: Games with expansions that change player count,Players: Games with Solitaire Rules,Setting: The Five Realms,Theme: Music Making & Makers","Card Game,Fantasy,Music","Deck, Bag, and Pool Building,End Game Bonuses,Movement Points,Solo / Solitaire Game,Variable Player Powers",7.3,"Not Rated",3.3,2,60 - 90,14,12,1,4,1,4,"","1,2,3","0",4380,"",Base Game,
382549,"Biome","https://cf.geekdo-images.com/3Z2EjY23iDYBJd2ccTIZnw__original/img/X4NLuu7iDvNYkapIF49sM_xIb98=/0x0/filters:format(png)/pic8532107.png",2024,Unknown,"Jessica Apel,DALL·E,Grzegorz Siwek","Leonie Grundler","","Components: AI Generated Illustrations,Components: Wooden pieces & boards,Crowdfunding: Gamefound,Crowdfunding: Kickstarter,Digital Implementations: Board Game Arena,Mechanism: Tableau Building,Misc: LongPack Games,Players: Games with Solitaire Rules,Theme: Ecology,Theme: Environmental Protection / Degradation / Pollution,Theme: Nature","Animals,Card Game,Educational,Environmental","End Game Bonuses,Events,Hand Management,Income,Interrupts,Solo / Solitaire Game,Trading,Turn Order: Progressive,Variable Player Powers,Victory Points as a Resource",7.5,"Not Rated,Not Rated",2.6,4,60 - 90,10,10,1,4,1,4,"2,3","2,3,4","7,7",3577,"",Base Game,
311930,"Block and Key","https://cf.geekdo-images.com/6_BYcrCoSoSvwENXzBKL5A__original/img/VqDXH2wM2tN-8HLgzouvP7uFAO0=/0x0/filters:format(png)/pic5518467.png",2022,Unknown,"Edu Valls","David Van Drunen","","Components: 3-Dimensional (3D),Components: Game Box Used In Play,Crowdfunding: Kickstarter,Mechanism: Perspective,Misc: DIZED Tutorial,Theme: Archaeology / Paleontology","Abstract Strategy,Puzzle","End Game Bonuses,Line of Sight,Open Drafting,Pattern Building,Square Grid,Stacking and Balancing",7.0,"Not Rated",1.8,1,20 - 40,8,8,1,4,1,4,"4","2,3,4","3",3758,"excali8ur",Base Game,
376610,"Blueprints of Mad King Ludwig","https://cf.geekdo-images.com/inSFynpmGq7s4Dx9IYZnRw__original/img/HAW5RNmbjYQOY4U2TsWK4RoT43s=/0x0/filters:format(jpeg)/pic7275398.jpg",2024,Unknown,"Ted Alspach,Roland MacDonald","Ted Alspach","","Game: Castles of Mad King Ludwig,Mechanism: Flip-and-Write,Misc: LongPack Games,Misc: Watch It Played How To Videos,Occupation: Architect,Versions & Editions: Roll- or Flip-and-Write Versions of Non-Writing Games","Post-Napoleonic,Puzzle","Drawing,End Game Bonuses,Grid Coverage,Line Drawing,Open Drafting,Paper-and-Pencil,Solo / Solitaire Game,Square Grid,Variable Player Powers",7.3,"Not Rated",2.8,Unknown,60,15,10,1,5,1,5,"4","1,2,3,4","0",4007,"",Base Game,
370399,"Boblin's Rebellion","https://cf.geekdo-images.com/KWXZBPlUJhD6dOXG4L_FDg__original/img/dX-IHcQo-YhvlqnOIE_1Q8OxFnE=/0x0/filters:format(png)/pic7910492.png",2024,Unknown,"Gong Studios","Alexandros Kapidakis","","Creatures: Goblins,Misc: LongPack Games,Setting: Dungeon Drop Universe","Fantasy,Territory Building","Action Points,Chaining,Open Drafting,Solo / Solitaire Game",7.2,"Not Rated",2.5,1,30 - 40,8,12,1,4,1,4,"","1,2,3,4","0",13718,"",Base Game,
448116,"Borealis: Arctic Expeditions","https://cf.geekdo-images.com/Ke3AIo4Prk1fbVvs7RMQtQ__original/img/ZQRKqivOnU4bCnpG04VQ3wVkmQ4=/0x0/filters:format(jpeg)/pic8936390.jpg",2026,Unknown,"Rodrigo Camilo Alves De Almeida,Kevin Sidharta,Inês Toczyska,Ariadna Żytniewska","Dariusz Mindur","","Digital Implementations: Tabletopia,Misc: LongPack Games,Occupation: Researcher / Scientist,Region: Arctic,Theme: Photography","Abstract Strategy,Environmental","End Game Bonuses,Hand Management,Open Drafting,Pattern Recognition,Race,Set Collection,Slide / Push,Track Movement,Variable Set-up,Victory Points as a Resource",7.3,"Not Rated",2.4,2,45,10,12,2,4,2,4,"3","1,2,3,4","0",5328,"",Base Game,
174973,"Boss Monster 2: The Next Level","https://cf.geekdo-images.com/HLuhiyNmAMbMkta8qz_QlQ__original/img/p120ZgPrE1dyyhd50Cxh2etTQ_0=/0x0/filters:format(jpeg)/pic2451609.jpg",2015,Unknown,"Darren Calvert,Francisco Coda,Katrina Guillermo,Kyle Merritt,Santiago Reinoso Muñoz,David Nyari","Johnny O'Neal,Chris O'Neal,Christopher O'Neal","Strategy Game,Family Game","Crowdfunding: Kickstarter,Game: Boss Monster,Theme: Villainy","Card Game,City Building,Expansion for Base-game,Fantasy,Video Game Theme","Auction / Bidding,Hand Management,Player Elimination,Take That",6.7,"Not Rated",1.8,3,20 - 30,13,10,2,4,2,4,"2","2,3,4","0",2378,"excali8ur",Base Game,
131835,"Boss Monster: The Dungeon Building Card Game","https://cf.geekdo-images.com/VBwaHyx-NWL3VLcCWKRA0w__original/img/izAmJ81QELl5DoK3y2bzJw55lhA=/0x0/filters:format(jpeg)/pic1732644.jpg",2013,Unknown,"Beau Buckley,Francisco Coda,Katrina Guillermo,Kyle Merritt,David Nyari,Alexander Olsen,Andres Sanabria","Johnny O'Neal,Chris O'Neal,Christopher O'Neal","Family Game","Containers: Unique Shape,Creatures: Monsters,Crowdfunding: Kickstarter,Digital Implementations: TableTop Simulator Mod (TTS),Digital Implementations: VASSAL,Game: Boss Monster,Misc: Watch It Played How To Videos,Players: Games with expansions that add solo play,Players: Games with expansions that change player count,Theme: Villainy","Card Game,Fantasy,Video Game Theme","Hand Management,Player Elimination,Take That,Variable Player Powers",6.3,"Not Rated",1.8,3,30,13,8,2,4,2,4,"4","2,3,4","0",2798,"excali8ur",Base Game,
184921,"Bunny Kingdom","https://cf.geekdo-images.com/Noz8-u1ba828WUv69pTXKg__original/img/UsuOzkr2-QWs5KPyOhWS5s02Uug=/0x0/filters:format(jpeg)/pic3613444.jpg",2017,Unknown,"Paul Mafayon","Richard Garfield","Strategy Game,Family Game","Animals: Rabbits / Hares,Components: 10 x 10 Grids,Components: Miniatures,Digital Implementations: Board Game Arena,Game: Bunny Kingdom,Players: Games with expansions that change player count,Theme: Anthropomorphic Animals","Animals,Medieval,Territory Building","Area Majority / Influence,Closed Drafting,End Game Bonuses,Grid Coverage,Hand Management,Simultaneous Action Selection,Square Grid",7.4,"Not Rated",2.3,3,40 - 60,12,10,2,5,2,4,"3,4","2,3,4","14",392,"excali8ur",Base Game,
373425,"Bunny Kingdom: Bunny Express","https://cf.geekdo-images.com/dyaHjTyr66DGmKy2Z988Sw__original/img/Y9M70l36Qh2xSF8VoJ2DfBg9Cy4=/0x0/filters:format(jpeg)/pic7142325.jpg",2023,Unknown,"Paul Mafayon","Richard Garfield","","Animals: Rabbits / Hares,Digital Implementations: Board Game Arena,Game: Bunny Kingdom","Expansion for Base-game,Animals,Medieval,Territory Building","Area Majority / Influence,Open Drafting",7.1,"Not Rated",1.8,Unknown,40 - 60,12,Unknown,2,4,2,4,"4","3,4","0",Unknown,"excali8ur",Expansion,
